UserId,Action,Type,Date
2,LOGGED IN,Site,11/17/2023 2:49:57 PM
3,LOGGED IN,Site,11/17/2023 2:51:01 PM
2,LOGGED IN,Site,11/17/2023 2:51:09 PM
1,LOGGED IN,Site,11/17/2023 2:51:33 PM
2,LOGGED IN,Site,11/17/2023 2:51:42 PM
3,LOGGED IN,Site,11/17/2023 2:52:04 PM
3,UPDATE,Password,11/17/2023 2:52:11 PM
2,LOGGED IN,Site,11/17/2023 2:52:35 PM
3,LOGGED IN,Site,11/17/2023 2:53:12 PM
2,LOGGED IN,Site,11/17/2023 2:53:35 PM
